record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0926,2002-11-28,male,canalbarra_cadastros_20021128_male,926,,Vitinh0,Vitinh0,historical_public_nickname,false,false,1
cb_20021128_0927,2002-11-28,male,canalbarra_cadastros_20021128_male,927,,Vitor,Vitor,historical_public_nickname,false,false,1
cb_20021128_0928,2002-11-28,male,canalbarra_cadastros_20021128_male,928,,VitorB,VitorB,historical_public_nickname,false,false,1
cb_20021128_0929,2002-11-28,male,canalbarra_cadastros_20021128_male,929,,Wacool,Wacool,historical_public_nickname,false,false,1
cb_20021128_0930,2002-11-28,male,canalbarra_cadastros_20021128_male,930,,WaGnNeR,WaGnNeR,historical_public_nickname,false,false,1
cb_20021128_0931,2002-11-28,male,canalbarra_cadastros_20021128_male,931,,wakkoRJ,wakkoRJ,historical_public_nickname,false,false,1
cb_20021128_0932,2002-11-28,male,canalbarra_cadastros_20021128_male,932,,Web_Ninja,Web_Ninja,historical_public_nickname,false,false,1
cb_20021128_0933,2002-11-28,male,canalbarra_cadastros_20021128_male,933,,Well_ ou Rtimm,Well_ ou Rtimm,historical_public_nickname,false,false,1
cb_20021128_0934,2002-11-28,male,canalbarra_cadastros_20021128_male,934,,WerT,WerT,historical_public_nickname,false,false,1
cb_20021128_0935,2002-11-28,male,canalbarra_cadastros_20021128_male,935,,Will,Will,historical_public_nickname,false,false,1
cb_20021128_0936,2002-11-28,male,canalbarra_cadastros_20021128_male,936,,Wolverinetf,Wolverinetf,historical_public_nickname,false,false,1
cb_20021128_0937,2002-11-28,male,canalbarra_cadastros_20021128_male,937,,XANDE-RJ,XANDE-RJ,historical_public_nickname,false,false,1
cb_20021128_0938,2002-11-28,male,canalbarra_cadastros_20021128_male,938,,XaRoPe-TyF,XaRoPe-TyF,historical_public_nickname,false,false,1
cb_20021128_0939,2002-11-28,male,canalbarra_cadastros_20021128_male,939,,XD4NIEL,XD4NIEL,historical_public_nickname,false,false,1
cb_20021128_0940,2002-11-28,male,canalbarra_cadastros_20021128_male,940,,Xocopinho_Elite,Xocopinho_Elite,historical_public_nickname,false,false,1
cb_20021128_0941,2002-11-28,male,canalbarra_cadastros_20021128_male,941,,Yuri_RJ,Yuri_RJ,historical_public_nickname,false,false,1
cb_20021128_0942,2002-11-28,male,canalbarra_cadastros_20021128_male,942,,zarahi,zarahi,historical_public_nickname,false,false,1
cb_20021128_0943,2002-11-28,male,canalbarra_cadastros_20021128_male,943,,ZARZA-E1-21,ZARZA-E1-21,historical_public_nickname,false,false,1
cb_20021128_0944,2002-11-28,male,canalbarra_cadastros_20021128_male,944,,ZAULI,ZAULI,historical_public_nickname,false,false,1
cb_20021128_0945,2002-11-28,male,canalbarra_cadastros_20021128_male,945,,zemaria,zemaria,historical_public_nickname,false,false,1
cb_20021128_0946,2002-11-28,male,canalbarra_cadastros_20021128_male,946,,Z-E-R-O------,Z-E-R-O------,historical_public_nickname,false,false,1
cb_20021128_0947,2002-11-28,male,canalbarra_cadastros_20021128_male,947,,ZEUS RJ,ZEUS RJ,historical_public_nickname,false,false,1
cb_20021128_0948,2002-11-28,male,canalbarra_cadastros_20021128_male,948,,Zeus_RJ,Zeus_RJ,historical_public_nickname,false,false,1
cb_20021128_0949,2002-11-28,male,canalbarra_cadastros_20021128_male,949,,ZIG19-Barra,ZIG19-Barra,historical_public_nickname,false,false,1
cb_20021128_0950,2002-11-28,male,canalbarra_cadastros_20021128_male,950,,zzz TATO_GATO!!!!,zzz TATO_GATO!!!!,historical_public_nickname,false,false,1
cb_20021128_0951,2002-11-28,female,canalbarra_cadastros_20021128_female,1,@,Bricia,@ Bricia,historical_public_nickname,false,false,1
cb_20021128_0952,2002-11-28,female,canalbarra_cadastros_20021128_female,2,@,ErV|nHA,@ ErV|nHA,historical_public_nickname,false,false,1
